Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (IND),2010-2022,115,107,31,4008,122*,52.73,2905,137.96,1,37,4,356,117
RG Sharma (IND),2007-2022,148,140,17,3853,118,31.32,2767,139.24,4,29,10,348,182
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
Babar Azam (PAK),2016-2023,104,98,14,3485,122,41.48,2714,128.4,3,30,5,371,53
PR Stirling (IRE),2009-2023,131,130,11,3408,115*,28.63,2509,135.83,1,23,13,394,123
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
DA Warner (AUS),2009-2022,99,99,11,2894,100*,32.88,2048,141.3,1,24,6,295,105
Mohammad Rizwan (PAK),2015-2023,85,73,16,2797,104*,49.07,2197,127.3,1,25,3,243,74
JC Buttler (ENG),2011-2023,109,100,21,2766,101*,35.01,1912,144.66,1,20,6,244,117
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,-,14,7,251,76
KS Williamson (NZ),2011-2022,87,85,11,2464,95,33.29,2003,123.01,-,17,4,230,57
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,-,14,3,186,120
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,-,9,2,196,69
Shakib Al Hasan (BAN),2006-2023,117,116,16,2382,84,23.82,1946,122.4,-,12,8,242,50
Q de Kock (SA),2012-2023,80,79,9,2277,100,32.52,1658,137.33,1,14,6,235,86
GJ Maxwell (AUS),2012-2023,100,92,15,2275,145*,29.54,1486,153.09,4,10,3,185,115
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
DA Miller (SA/World),2010-2023,114,99,34,2216,106*,34.09,1532,144.64,2,6,1,147,106
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
Mahmudullah (BAN),2007-2022,121,113,23,2122,64*,23.57,1809,117.3,-,6,4,161,64
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76
A Balbirnie (IRE),2015-2023,95,91,4,2041,83,23.45,1629,125.29,-,10,5,215,58
RD Berrington (SCOT),2008-2023,85,77,15,2032,100,32.77,1534,132.46,1,10,9,176,69
Virandeep Singh (MAL),2019-2023,67,66,12,2018,116*,37.37,1583,127.47,1,13,4,171,91
SA Yadav (IND),2021-2023,58,55,10,1985,117,44.11,1156,171.71,3,16,3,180,112
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,-,11,6,138,71
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,-,7,6,121,71
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
Mohammad Nabi (AFG),2010-2023,109,101,19,1825,89,22.25,1323,137.94,-,5,6,125,93
S Ssesazi (UGA),2021-2023,69,67,9,1814,100*,31.27,1499,121.01,1,14,7,195,57
S Dhawan (IND),2011-2021,68,66,3,1759,92,27.92,1392,126.36,-,11,2,191,50
Syed Aziz (MAL),2019-2023,69,67,12,1759,126,31.98,1204,146.09,1,13,6,171,85
Tamim Iqbal (BAN/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
